word_dutch,translate_word_english,familiar_mean,familiar_sd,familiar_n,category,goodness_mean,goodness_sd,goodness_n,typicality_mean,typicality_sd,typicality_n,dont_know_responses,n_know_item,imagine_mean,imagine_sd,log(lemmaFreq),age of acquisition,% known
grasmachine,lawn mower,3.5,0.793492048,28,tools,26,,,12.17857143,4.562760466,28,0,32,6.1875,1.060660172,0.602059991,5.05,99.75
haai,shark,3.035714286,0.63724772,28,fish,11.75,6.293000227,28,13.21428571,5.130570273,28,2,29,6.137931034,1.125171032,2.1430148,6.125,98.99497487
haan,rooster,3.428571429,0.920087412,28,birds,9.75,4.55928032,28,11.07142857,4.860487488,28,0,31,6.258064516,1.153768952,2.855519156,5.291666667,99.01477833
hagedis,lizard,2.857142857,0.755928946,28,reptiles,17.14285714,4.377673031,28,17.67857143,2.126613922,28,0,35,5.314285714,1.728165103,2.382017043,6.6,98.67021277
hamer,hammer,3.392857143,0.737326789,28,tools,26,,,18.42857143,2.201490597,28,0,34,6.352941176,1.09772086,2.648360011,6.75,98.28850856
hamster,hamster,3.25,0.844371342,28,mammals,12.57142857,4.787549991,28,14.57142857,4.630243346,28,0,32,6.21875,1.211087887,1.72427587,6.125,99.74937343
handbal,handball,2.5,0.638284739,28,sports,16.46428571,3.957946932,28,16.82142857,3.103803777,28,0,32,5.4375,1.625155079,0.602059991,9.304347826,100
handdoek,towel,4.892857143,0.314970394,28,kitchen utensils,12.89285714,5.952523808,28,12.39285714,5.788489765,28,0,36,5.805555556,1.410561073,2.843232778,5.625,99.7105644
hardlopen,running,2.928571429,0.766356045,28,sports,17.32142857,4.154904032,28,18.35714286,2.111946368,28,0,33,5,1.837117307,2.374748346,8.043478261,95.83333333
haring,herring,2.821428571,0.818923025,28,fish,17.07142857,3.809623015,28,17.07142857,2.930409799,28,1,34,4.411764706,1.971273194,2.342422681,8.458333333,98.03439803
harp,harp,2.428571429,0.690065559,28,musical instruments,15.25,4.256802834,28,16,4.127594582,28,0,33,5.939393939,1.143989563,1.838849091,8.833333333,98.03439803
hazelworm,blindworm,1.607142857,0.737326789,28,reptiles,4.954545455,4.225515159,22,5.136363636,4.42175848,22,5,25,2.68,1.796292478,1.397940009,8,80.9976247
