word_croatian,imagine_mean,imagine_sd,frequency_mean,frequency_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,aoa_mean,aoa_sd
KONCENTRACIJA,3.4,1.349897115,4.3,0.674948558,2.7,1.251665557,4.5,0.707106781,11.22222222,3.833333333
KONDOLIRATI,1.7,0.948683298,1.7,1.33749351,2.125,1.125991626,1.75,1.164964745,5.25,8.664376987
KONJ,4.925925926,0.266880256,3.296296296,1.46273755,,,,,,
KONJIĆ,4.9,0.316227766,3.3,0.948683298,5,0,4.9,0.316227766,2.666666667,0.866025404
KONKAVAN,3.363636364,1.433368569,1.636363636,1.206045378,3,1.61245155,3.545454545,1.439696938,11.72727273,6.724446581
KONKAVNO,3.4,1.505545305,1.7,0.823272602,3.666666667,1.58113883,3.888888889,1.269295518,12.33333333,5.291502622
KONTEJNER,4.837209302,0.432612912,3.886363636,1.082974137,,,,,,
KONTROLA,3.1,0.994428926,3.9,1.100504935,3.2,1.316561177,4.9,0.316227766,8.3,4.347413024
KONVERGENTAN,1.818181818,1.167748416,1.818181818,0.981649817,2.090909091,0.943879807,2.909090909,1.758098146,16,2.049390153
KONVERGENTNO,1.7,0.823272602,1.8,0.788810638,2.444444444,1.333333333,2.222222222,1.301708279,8.666666667,7.516648189
KOPATI,4.8,0.632455532,3.3,1.159501809,3.5,1.354006401,5,0,4.5,3.274480451
KOPITO,4.625,0.923721208,1.916666667,1.212853863,,,,,,
KORIJEN,4,1.054092553,3.5,1.178511302,4.125,1.457737974,4.5,0.9258201,7.125,3.270539492
KORITO,4.733333333,0.691491807,2.166666667,1.391683013,,,,,,
KORNJAČA,5,0,3.9,0.994428926,5,0,4.75,0.46291005,2.75,1.832250763
KOROTA,2.466666667,1.455864084,1.3,0.534983081,,,,,,
KOS,4.703703704,0.77533193,2,1.330124344,,,,,,
KOSA,4.933333333,0.253708132,4.833333333,0.5920935,,,,,,
KOSINA,3.8,1.398411798,2.6,1.0749677,3.6,1.0749677,3.8,1.229272594,11.55555556,2.743679606
KOST,4.75,0.585314097,3.892857143,1.286375491,,,,,,
KOSTUR,4.928571429,0.267261242,2.714285714,1.204387583,4.857142857,0.36313652,4.857142857,0.36313652,8.454545455,3.142089635
KOTAO,4.545454545,0.687551651,2.090909091,1.044465936,4.545454545,0.934198733,4.454545455,0.820199532,9.7,3.653004851
KOTAČ,5,0,3.903225806,1.445794792,,,,,,
KOVANICA,4.826086957,0.650326765,3.652173913,1.584260529,,,,,,
KOVČEG,5,0,3.086956522,1.534839153,,,,,,
KOZA,4.866666667,0.730296743,3.333333333,1.538770968,,,,,,
KOČIJA,5,0,1.7,0.948683298,4.6,0.516397779,4.7,0.674948558,4.9,1.728840331
KOŠARA,4.818181818,0.404519917,4.181818182,1.07871978,5,0,5,0,3.4,0.966091783
KOŠARKA,4.833333333,0.577350269,3.75,1.422226168,4.583333333,0.900336637,4.75,0.866025404,5.727272727,2.327698825
KOŠMAR,2.681818182,1.271745317,2.409090909,1.263405914,,,,,,
KOŠNICA,4.875,0.42121177,2.375,1.431218745,,,,,,
KOŠTATI,3.272727273,1.678744119,4.454545455,0.820199532,4.090909091,1.136181804,4.727272727,0.646669791,5.727272727,2.37027041
KOŠULJA,4.866666667,0.571346464,4.7,0.836660027,,,,,,
KOŠUTA,4.633333333,0.850287308,2.1,1.422722015,,,,,,
KRAFNA,5,0,3.636363636,1.566698904,5,0,5,0,3.7,1.418136492
KRAJ,3.818181818,1.328019715,4.090909091,0.831209415,3.454545455,1.293339581,5,0,4.272727273,1.61807967
KRAJPUTAŠ,1.909090909,0.831209415,1.272727273,0.646669791,2.4,1.577621275,1.7,0.674948558,6.7,8.446564061
KRAK,4.866666667,0.434172485,,,,,,,,
KRALJ,4.8,0.632455532,4,1.247219129,4.5,1.08012345,4.8,0.632455532,3.666666667,1.732050808
KRALJEVIĆ,4.818181818,0.404519917,2.727272727,1.555050423,4.454545455,1.213559752,4.363636364,1.286291357,4.727272727,1.489356176
KRALJEVSTVO,3.9,1.449137675,2.7,1.159501809,3.8,1.229272594,4.5,0.707106781,4.555555556,2.185812841
KRASAN,3.3,0.823272602,3.6,1.0749677,2.7,1.251665557,4.3,0.823272602,5.7,1.636391694
KRASNO,3.636363636,1.286291357,3.727272727,1.272077756,2.8,1.316561177,4,0.816496581,7.2,3.552776692
KRASTAVAC,5,0,4.1,1.197219,5,0,5,0,4.2,1.87379591
KRASTAVCI,5,0,4.083333333,1.083624669,4.636363636,1.206045378,4.636363636,1.206045378,3.3,1.494434118
KRATAK,3.636363636,1.501514387,4,1,2.454545455,1.213559752,4.909090909,0.301511345,5.181818182,1.401298099
KRATITI,3.727272727,0.904534034,3.454545455,1.293339581,3.636363636,1.361816968,4.818181818,0.404519917,5.727272727,1.348399725
KRATKO,4.363636364,1.026910636,4,1,3.727272727,1.555050423,4.818181818,0.603022689,4.363636364,2.062654953
KRAVA,4.7,0.483045892,3.6,1.173787791,4.888888889,0.333333333,4.888888889,0.333333333,2.333333333,1
KRAVATA,4.727272727,0.904534034,3.272727273,1.420627262,4.727272727,0.646669791,4.727272727,0.646669791,7,2.494438258
KREDA,4.5,1.269295518,3.3,1.33749351,5,0,5,0,5.111111111,2.204792759
KRETATI,4.2,1.032795559,4.1,1.286683938,3.7,1.567021236,5,0,4.9,4.121757985
KRETATI SE,3.636363636,1.689540013,4.363636364,0.674199862,3,1.549193338,5,0,4.363636364,1.747725795
KREVET,4.727272727,0.646669791,4.727272727,0.646669791,5,0,5,0,3.222222222,1.301708279
KREVETIĆ,4.933333333,0.365148372,2.933333333,1.529780993,,,,,,
KRIMINAL,3.227272727,1.428344893,3.931818182,1.128854683,,,,,,
KRIPTA,3.384615385,1.556623565,1.461538462,1.198289379,4.166666667,1.267304465,3,1.206045378,14.09090909,6.13929223
KRITIČAN,2.818181818,1.250454463,3.909090909,1.044465936,2.181818182,1.328019715,4.818181818,0.404519917,10.16666667,3.430257522
KRITIČNO,3,1.341640786,4,1.183215957,2.181818182,1.250454463,4.454545455,0.820199532,9.571428571,2.878491669
KRIV,2.8,1.032795559,3.5,1.269295518,2.5,1.08012345,4.9,0.316227766,4.4,1.837873167
KRIVNJA,2.148148148,1.511588663,3.037037037,1.556165936,,,,,,
KRIVO,3.909090909,1.221027883,4.545454545,1.213559752,2.727272727,1.555050423,4.909090909,0.301511345,4.5,1.178511302
KRMAČA,3.909090909,1.513574937,3.090909091,1.136181804,4.111111111,1.269295518,3.777777778,0.971825316,6.25,1.982062418
KRNJE,2.818181818,1.328019715,2.454545455,1.213559752,3.2,1.549193338,3.4,1.505545305,12.42857143,4.755948656
KRNJI,2.4,1.837873167,2,0.816496581,2.9,1.449137675,3.8,1.229272594,10.4,4.948624949
