word_english,length,familiar_mean,familiar_n,aoa_subjective_mean,aoa_subjective_n,transparency_mean,transparency_n,lmd_mean,lmd_n,imagine_mean,imagine_n,ser_mean,ser_n,familiar_z,aoa_zscore,transparency_z,lmd_zscore,imagine_zscore,ser_zscore
whenever,8,7,14,4.07,15,4,15,3.93,15,1.43,21,1.2,15,1.01,-0.45,-0.44,-0.79,-1.92,-1.65
whetstone,9,2.43,14,6.6,15,3.7,10,5.8,10,2.76,21,1.87,15,-3.15,1.72,-0.69,0.51,-1.04,-1.01
whichever,9,6.5,14,4.33,15,3.33,15,4.2,15,1.43,21,1.2,15,0.55,-0.22,-1,-0.61,-1.92,-1.65
whirlpool,9,6.29,14,4.13,15,5.53,15,5.33,15,5.76,21,3.6,15,0.36,-0.39,0.84,0.18,0.92,0.65
whirlwind,9,5.71,14,4.87,15,5.27,15,5.8,15,4,21,3.13,15,-0.16,0.24,0.61,0.51,-0.24,0.21
whoever,7,6.5,14,4.07,15,3.57,14,2.8,15,1.81,21,1.47,15,0.55,-0.45,-0.8,-1.59,-1.67,-1.4
wholesale,9,5.5,14,6,15,3.47,15,6.07,15,2.24,21,1.67,15,-0.35,1.21,-0.89,0.7,-1.39,-1.21
wholesome,9,6.36,14,6.2,15,3.73,15,3.93,15,2.48,21,1.67,15,0.42,1.38,-0.66,-0.79,-1.23,-1.21
whomever,8,6.5,14,6.07,15,3.67,15,3.93,15,1.52,21,1.2,15,0.55,1.26,-0.72,-0.79,-1.85,-1.65
widespread,10,6.79,14,5,15,5.4,15,4.67,15,2.24,21,1.8,15,0.81,0.35,0.73,-0.28,-1.39,-1.08
willpower,9,6.57,14,5.67,15,5.33,15,4.6,15,2.14,21,3,15,0.62,0.92,0.67,-0.33,-1.45,0.08
windowpane,10,6.29,14,3.93,15,5.33,15,4.4,15,5.57,21,1.93,15,0.36,-0.56,0.67,-0.47,0.79,-0.95
windowsill,10,6.79,14,3.07,15,4.86,14,3.87,15,6.05,21,4.2,15,0.81,-1.3,0.27,-0.84,1.1,1.23
wingspan,8,6.71,14,4.53,15,5.47,15,4.33,15,4.76,21,2.93,15,0.75,-0.05,0.78,-0.52,0.26,0.01
wintergreen,11,4.86,14,4.87,15,2.6,15,6.08,12,3.05,21,3.27,15,-0.94,0.24,-1.61,0.71,-0.86,0.33
wintertime,10,6.71,14,2.67,15,6.47,15,2.67,15,5.67,21,4.53,15,0.75,-1.64,1.61,-1.68,0.85,1.55
wiretap,7,4.93,14,6.47,15,4.21,14,4.73,15,2.86,21,1.73,15,-0.87,1.6,-0.26,-0.24,-0.98,-1.14
wisecrack,9,4.86,14,5.73,15,3.21,14,3.87,15,2.29,21,2.8,15,-0.94,0.98,-1.1,-0.84,-1.36,-0.12
wishbone,8,6.86,14,3.93,15,4.86,14,7.27,15,5.95,21,3.6,15,0.88,-0.56,0.27,1.54,1.04,0.65
witchcraft,10,6.79,14,3.4,15,5,15,3.67,15,4.38,21,3.27,15,0.81,-1.02,0.39,-0.98,0.01,0.33
womanhood,9,6.43,14,5.33,15,3.64,14,1.87,15,3.43,21,3.47,15,0.49,0.64,-0.74,-2.24,-0.61,0.53
womankind,9,6.07,14,4.8,15,3.93,14,2.07,15,3.57,21,2.87,15,0.16,0.18,-0.5,-2.1,-0.52,-0.05
wordplay,8,6.5,14,5.8,15,4.93,14,3.53,15,2.43,21,2.8,15,0.55,1.03,0.33,-1.07,-1.26,-0.12
worldwide,9,6.93,14,4.4,15,4.93,14,3.07,15,3.48,21,3.33,15,0.94,-0.16,0.33,-1.4,-0.58,0.4
wristwatch,10,6.64,14,3,15,6.27,15,6.33,15,6.76,21,3.31,13,0.68,-1.36,1.45,0.88,1.57,0.37
yardstick,9,6.86,14,3.87,15,5.87,15,5.33,15,5.95,21,2.2,15,0.88,-0.62,1.11,0.18,1.04,-0.69
