word_spanish,concrete_mean,familiar_mean,similar_word,similarity_mean,similarity_sd,concrete_mean_similar_word,familiar_mean_similar_word,less_similar_word,less_similarity_mean,less_similarity_sd,concrete_mean_less_similar_word,familiar_mean_less_similar_word,,,,,,,,,,,,,
niño,6.18,6.51,adolescente,5.4,1.69,5.45,6.42,viejo,3.6,2.25,5.14,6.26,,,,,,,,,,,,,
nutria,6.2,4.6,ardilla,6.2,1.56,6.39,5.8,antílope,3.52,2.25,5.15,4.05,,,,,,,,,,,,,
ombligo,6.01,5.92,pezón,5.93,1.64,6.4,6.3,axila,3.67,2.17,6.45,5.65,,,,,,,,,,,,,
orilla,5.41,5.95,borde,5.53,2.37,4.13,6.08,esquina,2.79,2.02,5.45,6.14,,,,,,,,,,,,,
paloma,6.42,6.18,gaviota,6.03,2.13,6.28,6.56,delfín,3.93,2.05,6.6,6.05,,,,,,,,,,,,,
palomitas,6.15,6.55,pistachos,5.57,1.79,6.6,6.05,pasas,3.33,1.81,5.13,5.53,,,,,,,,,,,,,
panadería,6.54,5.46,pastelería,7.3,1.39,5.95,6.35,papelería,3.8,1.9,5.9,6.35,,,,,,,,,,,,,
panadero,6.54,5.46,pastelero,7,1.64,5.75,6.1,zapatero,3.9,2.51,6.25,6.25,,,,,,,,,,,,,
panal,5.26,4.3,avispero,5.69,3.22,6.1,4.1,gallinero,2.83,1.58,5.54,4.99,,,,,,,,,,,,,
paño,5.35,6.28,bayeta,6.45,2.11,5.78,5.56,papel,4.5,2.4,5.8,6.67,,,,,,,,,,,,,
pañuelo,6.08,6.29,bufanda,6.17,2.07,6.71,6.08,guantes,3.97,1.87,6.57,4,,,,,,,,,,,,,
parrilla,5.8,5.9,plancha,6.4,2.11,5.46,6.62,chimenea,4.47,2.08,6.17,5.7,,,,,,,,,,,,,
peatón,5.65,5.55,caminante,7.75,1.04,4.95,5.15,vagabundo,3.27,1.78,5.67,6.1,,,,,,,,,,,,,
peca,5.85,5.75,verruga,6.3,1.62,5.94,5.15,grano,4.73,2.24,4.95,6.16,,,,,,,,,,,,,
pecho,6.09,6.13,corazón,5.79,1.87,6.01,6.76,nalgas,3.8,2.09,5.97,4.83,,,,,,,,,,,,,
pelo,6.72,6.6,pestaña,5.53,1.91,5.55,6.5,cuello,3.33,2.22,5.77,6.02,,,,,,,,,,,,,
pendiente,3.68,5.81,anillo,6,1.74,5.95,6.12,reloj,3.93,2.3,6.52,6.77,,,,,,,,,,,,,
perejil,6.7,6.3,tomillo,6.2,2.12,6.37,5.05,vainilla,3.23,2.28,6.8,6.1,,,,,,,,,,,,,
pimiento,6.25,6.55,berenjena,5.53,2.11,6.25,6.3,níspero,2.93,1.98,6.75,4,,,,,,,,,,,,,
piojo,6.45,5.85,pulga,5.67,2.4,6.4,6,oruga,4.47,1.7,6.2,6.2,,,,,,,,,,,,,
queso,5.99,5.93,cuajada,5.97,1.81,5.6,5.35,flan,4.27,2.2,6.15,6.15,,,,,,,,,,,,,
raíz,5.24,6.43,tubérculo,5.25,2.19,4.8,4.25,semilla,4.43,2.22,5.55,4.63,,,,,,,,,,,,,
rama,4.72,6.12,tronco,6.07,1.72,5,5.43,tubérculo,2.79,1.73,4.8,4.25,,,,,,,,,,,,,
rana,6.37,5.76,salamandra,5.73,1.84,6.05,4.16,serpiente,4.77,2.3,6.05,4.16,,,,,,,,,,,,,
rastrillo,5.9,4.95,escoba,6.3,1.58,6.33,6.09,navaja,2.28,1.67,6.69,5.4,,,,,,,,,,,,,
rayo,5.6,5.9,descarga,6.87,1.8,4.55,4.63,ráfaga,3.93,2.28,4.15,4.65,,,,,,,,,,,,,
rebanada,5.15,5.45,rodaja,6.83,2.68,5.05,6.1,galleta,4.82,2.07,6.05,6.8,,,,,,,,,,,,,
rebaño,5.41,4.58,ganado,7,1.87,4.14,3.84,gentío,3.79,2.69,4.13,5.18,,,,,,,,,,,,,
relámpago,6.22,4.65,centelleo,5.73,2.13,4.13,3.57,volcán,2.93,1.82,6.2,3.88,,,,,,,,,,,,,
rodilla,6.56,5.95,codo,5.9,2.02,5.5,5.64,ojo,3.9,2.4,5.94,6.81,,,,,,,,,,,,,
roscón,5.8,5.7,bollo,6,2.08,4.85,6.05,sorbete,2.68,1.63,5.2,5.65,,,,,,,,,,,,,
sábana,5.9,6.26,colcha,6.7,1.91,6.43,5.96,tapete,4.03,1.92,5.38,4.46,,,,,,,,,,,,,
sacacorchos,6.55,5.4,abrelatas,5.6,2.14,6.4,5.2,exprimidor,2.93,1.62,5.75,6.2,,,,,,,,,,,,,
saltamontes,6.4,5.9,grillo,6.87,1.25,6.85,5.65,bogavante,2.24,1.57,6.75,5.1,,,,,,,,,,,,,
servilleta,6.68,6.45,mantel,6.07,2.1,6.38,6.31,manta,3.13,1.59,6.09,6.7,,,,,,,,,,,,,
sobrina,6.05,5.36,prima,5.93,2.4,4.54,5.2,padre,3.8,2.02,6.08,6.57,,,,,,,,,,,,,
sobrino,6.2,6.8,primo,5.28,2.36,5.43,6.71,cuñado,4.8,2.27,5.44,5.84,,,,,,,,,,,,,
sombrero,5.93,3.24,gorra,7.03,1.75,5.63,6.53,pantalón,3.97,1.94,6.34,6.27,,,,,,,,,,,,,
sujetador,5.39,6.1,falda,5.2,1.77,5.44,6.34,chándal,3.5,2.11,6.5,6.7,,,,,,,,,,,,,
tarro,4.7,5.1,frasco,7.2,2.37,5.22,5.36,bolsa,2.27,1.68,4.72,6.42,,,,,,,,,,,,,
tarta,6.36,6.24,bizcocho,6.8,2.01,5.95,6.55,tostada,3.52,1.7,5.85,6.75,,,,,,,,,,,,,
techo,5.68,6.52,tejado,7,1.97,5.58,5.7,pasillo,3.17,2,5.52,6.72,,,,,,,,,,,,,
ternera,6.05,6.2,toro,5.6,2.11,6.26,5.52,tigre,2.83,2.11,6.49,5.54,,,,,,,,,,,,,
tiburón,6,5.85,orca,6.23,1.33,6,4.75,cangrejo,4.27,2.43,6.15,5.85,,,,,,,,,,,,,
tienda,4.81,6.61,supermercado,6.63,1.79,5.52,6.5,feria,3.47,1.94,4.93,5.66,,,,,,,,,,,,,
tijeras,6.46,6.59,alicates,5.73,1.96,6.25,6.05,destornillador,4.63,2.11,6.6,5.65,,,,,,,,,,,,,
tobillo,6.6,6.6,pierna,5.03,1.9,6.29,6.48,costilla,4.07,1.62,6.3,6.2,,,,,,,,,,,,,
toldo,5.94,5.45,porche,5.71,2,5.18,3.86,telón,3.93,1.78,5.62,4.64,,,,,,,,,,,,,
tormenta,5.33,6.59,huracán,6.1,2.19,5.69,4.14,terremoto,4.53,2.06,5.7,5.25,,,,,,,,,,,,,
trigo,6.41,4.07,centeno,5.69,2.73,5.95,4.55,avellana,3.93,2.39,6.55,6.05,,,,,,,,,,,,,
uña,6.33,6.34,zarpa,6.53,1.98,5.9,4.15,diente,3.77,2.01,6.24,6.31,,,,,,,,,,,,,
uva,6.3,6.7,pasas,5.77,2.84,5.13,5.53,remolacha,3.93,1.72,6.3,4.9,,,,,,,,,,,,,
valla,5.9,5.21,reja,7.83,1.21,6.12,5.77,pared,4.9,1.79,6.25,6.27,,,,,,,,,,,,,
vecino,5.83,6.8,residente,5.14,1.81,4,6.25,arrendatario,3.2,2.12,4.95,3.85,,,,,,,,,,,,,
vendaje,2.9,5.45,tirita,6.75,1.32,6.25,6.15,faja,3.79,2.18,6.15,4.65,,,,,,,,,,,,,
veneno,4.48,5.08,pócima,5.36,2.72,3.2,4,fármaco,4.2,2.44,4.8,6,,,,,,,,,,,,,
ventanal,6.08,5.93,balcón,6.61,1.66,6.03,5.71,baranda,3.14,2.39,5.33,4.95,,,,,,,,,,,,,
vertedero,5.65,4.65,contenedor,6.7,2.1,5.9,6.45,descampado,3.79,2.29,4.57,4.87,,,,,,,,,,,,,
vivienda,5.45,4.85,piso,7.53,1.33,4.62,6.66,campamento,4.86,2,5.42,5.33,,,,,,,,,,,,,
yegua,6.19,5.1,mula,5.87,2.16,6.17,4.77,elefante,4,1.97,6.41,5.82,,,,,,,,,,,,,
yeso,5.61,4.05,arcilla,5.24,2.39,4.95,6.24,carbón,2.57,1.92,6.04,5.31,,,,,,,,,,,,,
zanahoria,6.67,5.58,rábano,6,1.64,6.4,5.45,albaricoque,4.31,2.39,6.85,5.4,,,,,,,,,,,,,
zorro,6.05,5.83,lobo,5.8,1.92,5.97,6.13,gallo,4.76,2.28,5.94,6.24,,,,,,,,,,,,,
zumo,5.23,5.55,batido,6.3,2.07,3.95,6.1,aceite,4,2.44,5.8,6.27,,,,,,,,,,,,,
