word_french,familiarity_mean_conceptual,familiarity_sd_conceptual,familiarity_min_conceptual,familiarity_max_conceptual,number_of_raters,rt_mean,rt_sd
biais,76.7,22.518,22,100,22,9.668,9.352
biberon,87.875,21.965,0,100,24,3.875,2.267
bible,89.35,14.291,50,100,20,4.102,2.025
biche,75.429,27.427,21,100,21,4.929,2.499
bicyclette,96.682,4.989,72,100,22,3.941,2.844
bidon,77.818,21.315,41,100,22,6.208,5.741
bien-être,92.455,10.008,63,100,22,6.667,7.342
bienfait,85.7,18.849,36,100,21,5.994,8.228
bigoudi,72.083,34.281,0,100,24,8.366,14.702
bijouterie,82.952,28.909,0,100,21,4.438,3.454
bijoutière,87.368,17.74,50,100,19,4.304,2.151
binette,63.773,37.55,0,100,22,4.358,1.756
biographie,92.708,10.302,67,100,24,5.617,6.68
biscotte,78.455,20.423,26,100,22,5.495,4.923
bise,85.158,24.815,9,100,19,4.161,3.554
bisou,92.333,13.562,50,100,21,5.322,5.648
blague,91.833,11.941,50,100,24,4.318,2.297
blaireau,53.238,33.83,0,100,21,4.91,3.006
blanc,96.895,5.953,80,100,19,4.147,1.857
blason,53.619,36.055,0,100,21,7.574,12.118
blatte,53.667,40.21,0,100,21,4.446,1.452
blé,90.864,12.707,50,100,22,6.54,8.322
blessé,94.75,5.665,81,100,21,4.725,3.609
blessure,93.05,12.002,50,100,20,4.916,4.533
blette,38.895,38.453,0,96,19,6.582,5.492
bleuet,96.364,8.027,50,100,22,3.41,1.024
blocage,81.368,17.49,50,100,19,8.484,12.003
blouse,92.545,13.825,63,100,22,4.591,2.534
blouson,89.842,13.471,53,100,19,7.176,7.788
boa,85.263,17.763,44,100,19,4.238,2.475
bobine,82.952,20.684,31,100,21,4.365,2.678
boeuf,95.136,6.205,78,100,22,3.611,1.369
bois,96.313,5.108,84,100,17,8.298,11.252
boîtier,88.412,13.431,50,100,17,5.177,2.935
bombarde,74.941,19.873,41,100,17,5.063,1.964
bombe,83.238,24.38,0,100,21,4.554,3.045
bon,93.273,14.564,50,100,22,4.375,3.238
bonbon,96.895,4.241,87,100,19,4.936,3.941
bonbonne,76.292,28.487,2,100,24,6.237,2.657
bond,77.947,30.649,0,100,19,7.79,10.226
bonheur,90.824,14.323,50,100,17,4.153,1.701
bonne,91.364,13.675,50,100,22,4.108,1.606
bonté,83.524,17.212,50,100,21,4.995,4.418
bonze,14.905,23.246,0,100,21,7.621,7.195
boomerang,80.789,26.944,2,100,19,7.525,11.09
bordée,60,32.818,0,100,20,7.782,16.211
bordereau,66.045,32.938,0,100,22,7.956,8.489
bordure,89.563,12.601,62,100,16,5.749,6.104
borne,69.857,27.015,12,100,21,5.792,5.288
bosquet,47,38.786,0,100,19,5.626,4.433
bottin,81,23.795,27,100,19,7.644,12.969
bottine,91.409,11.64,61,100,22,4.718,5.868
bouche,95.857,7.538,73,100,21,4.182,5.514
bouchée,94.476,8.43,71,100,21,6.142,8.516
boucle,88.905,15.016,38,100,22,7.498,11.608
boudin,74.708,28.591,0,100,24,9.609,22.462
bouge,86.6,16.8,34,100,21,3.566,1.527
bougie,93.591,12.591,80,100,22,3.579,1.962
bouilloire,92.833,7.757,26,100,24,5.193,2.472
boulanger,87.636,17.272,50,100,22,3.106,1.502
boulangerie,89.053,17.84,50,100,19,4.115,1.822
bouleau,82.619,28.193,3,100,21,6.547,6.94
boulet,74.273,32.634,0,100,22,7.88,8.294
boulette,82.05,25.779,12,100,20,6.232,7.336
boulevard,91.682,13.937,50,100,22,4.337,2.869
boulon,66.176,33.439,24,100,17,7.222,5.439
boulot,90.2,18.332,31,100,20,6.574,10.943
bouquet,88.167,17.736,47,100,24,4.779,3.645
bouquineur,65,32.57,0,100,19,6.181,5.217
bourde,41.455,40.172,0,100,22,5.808,6.489
bourdon,81.15,31.349,3,100,20,6.876,7.118
bourgeoisie,88.188,13.886,60,100,16,6.023,6.417
bourreau,78.474,23.08,21,100,19,8.988,9.87
bourse,88.375,15.805,50,100,24,8.503,13.035
bouse,45.727,41.872,83,100,22,7.074,7.465
bouseux,19.136,33.89,0,100,22,4.878,1.666
boussole,89.087,13.035,50,100,24,7.325,11.568
bout,86.895,24.693,0,100,19,4.557,2.872
boutade,35.882,31.396,0,100,17,6.221,4.636
boute-en-train,77.952,24.921,9,100,21,5.021,3.392
bouteille,95.167,6.485,77,100,24,4.399,2.322
boutique,93.133,10.336,63,100,16,8.452,8.533
bouton,93.583,13.247,52,100,24,4.585,3.675
boutonnière,76,23.554,26,100,21,6.538,5.417
boyau,76.625,29.122,0,100,24,5.973,7.382
braise,83.188,21.248,28,100,16,4.87,3.038
branchage,72.941,25.97,9,100,17,8.018,8.009
branche,93.083,12.88,50,100,24,4.419,3.93
bras,95.667,5.428,73,100,24,4.248,0.704
brasier,76.5,24.529,22,100,22,5.446,4.19
bravoure,79.474,29.96,63,100,19,5.033,3.265
bretelle,84.8,16.094,50,100,20,6.628,8.915
bribe,38.273,35.56,71,100,22,6.605,4.784
brigade,78.789,18.716,30,100,19,9.011,13.945
brigadière,80.6,27.571,2,100,20,4.398,2.169
brindille,83.773,27.412,0,100,22,4.015,2.33
brioche,92.958,9.822,68,100,24,4.619,3.016
brique,89.524,16.824,30,100,22,5.63,6.752
brise,90.421,12.375,59,100,19,4.865,2.166
brocanteur,40.1,36.795,0,100,24,4.389,1.124
broche,84.765,14.575,50,100,17,6.249,3.952
brochet,63.333,32.903,0,100,24,9.525,10.387
brochette,84.625,28.318,0,100,24,4.948,2.684
brochure,93.944,7.092,77,100,19,4.362,2.144
brocoli,93.842,9.185,65,100,21,4.609,4.785
broderie,81.5,14.843,19,100,24,5.944,1.302
brosse,90,12.166,50,100,21,6.303,6.773
brosse à dents,92.421,11.082,62,100,22,6.801,11.458
brouette,79.773,30.147,0,100,22,6.266,6.286
brouillon,86.143,23.022,1,100,21,7.309,7.114
broussaille,46.409,32.667,0,100,22,4.901,3.204
bru,63.526,32.545,0,100,19,4.857,2.714
bruine,73.091,31.913,0,100,22,5.946,3.062
bruit,93,8.438,50,100,24,4.537,2.525
brûleur,79.188,30.466,0,100,16,5.828,7.602
brûlure,94.053,7.276,80,100,19,4.456,2.219
brutalité,89.208,13.497,50,100,24,5.659,7.136
buanderie,79,18.829,50,100,20,6.138,6.922
bûcher,80.2,20.702,28,100,20,4.695,4.26
budget,87.941,14.131,50,100,17,6.701,6.017
buée,93.857,8.552,74,100,21,4.433,4.641
bulbe,61.316,32.549,0,100,19,4.351,1.532
bulle,92.375,13.843,50,100,24,4.505,2.031
bureau,96.526,5.68,80,100,19,6.143,7.769
burin,20.7,33.092,0,85,20,10.781,20.38
butin,64.095,29.92,11,100,21,5.049,2.628
butor,17.235,30.359,0,98,17,4.674,2.053
buveur,86.688,12.169,63,100,16,5.924,7.752
cabale,25.895,34.257,0,99,19,5.764,4.75
cabanon,87.4,24.213,27,100,20,4.965,2.923
cabinet,87.632,15.016,50,100,19,7.048,8.829
câblage,83.364,16.74,50,100,22,7.802,8.042
cabriolet,50.952,38.868,0,100,21,7.192,9.321
cacahuète,92.737,12.188,50,100,19,7.468,11.463
cachalot,33.6,37.053,0,100,24,4.944,1.936
cachette,93.053,11.886,55,100,19,5.743,4.97
cachot,70,36.176,0,100,20,6.892,4.629
cactus,94.143,8.314,75,100,21,6.04,8.852
caddie,51.857,42.709,0,100,21,4.146,1.988
cadenas,95.263,6.607,79,100,19,5.977,5.807
cadran,93.381,11.191,62,100,21,4.125,2.636
cadre,94.6,11.745,50,100,20,5.042,4.075
cafard,87,14.99,50,100,24,4.626,3.201
café,95.318,11.433,50,100,22,4.024,2.086
cage,94.737,8.109,71,100,19,4.298,2.274
cahier,95,9.201,67,100,19,6.697,9.937
caïman,53.944,36.368,0,100,19,6.867,8.465
caissière,95.095,7.797,76,100,21,3.58,2.148
calanque,26.316,35.665,0,99,19,4.987,3.773
calcification,63.045,27.165,9,100,22,7.191,5.9
calcul,91.333,14.434,50,100,22,5.48,6.133
cale,41.579,38.458,0,100,19,5.519,4.283
calèche,89.545,17.893,29,100,22,3.578,1.469
caleçon,88.864,15.971,50,100,22,5.081,2.839
calepin,69.684,31.726,20,100,21,4.971,3.883
calibre,71.238,23.067,17,100,21,4.955,4.894
calmar,82.292,24.824,0,100,24,5.292,5.692
calme,91.211,11.75,62,100,19,4.926,4.225
calomnie,48.208,37.482,0,100,24,7.572,9.771
calorie,81.579,21.114,16,100,19,4.749,2.006
calotte,68.87,30.823,0,100,24,5.921,5.933
calumet,53.059,31.011,0,100,17,5.116,3.04
camarade,91.375,12.517,50,100,24,5.777,7.427
cambriolage,86.773,16.587,50,100,22,4.28,2.74
caméléon,93.143,8.296,71,100,21,5.254,3.815
camion,94.273,11.482,50,100,22,5.405,6.467
camionnette,90.048,14.126,42,100,21,6.294,6.551
camisole,88.727,17.225,50,100,22,6.246,7.597
camp,83.636,17.126,50,100,22,7.414,6.002
campagne,93.238,10.344,74,100,21,3.91,2.408
camping,90.588,10.399,66,100,17,5.881,6.812
canapé,93.762,10.183,61,100,21,6.018,8.008
canard,89.35,17.646,50,100,20,3.396,2.028
canari,87.591,23.411,69,100,22,4.777,2.641
cancer,93.368,11.157,58,100,19,3.575,1.167
candeur,45.792,33.245,0,95,24,6.153,6.934
candidat,87.773,12.902,50,100,22,7.578,11.761
candidature,92.429,10.605,68,100,21,5.616,5.047
cane,71.591,33.216,0,100,22,6.487,7.404
canette,95.524,6.555,76,100,21,6.177,5.537
caniche,89.75,21.812,0,100,24,5.915,8.514
canif,78.421,33.321,3,100,19,4.865,3.053
canoë,79.313,17.235,50,100,17,5.404,4.651
canon,81.5,25.078,0,100,22,5.561,6.339
cantatrice,43.619,35.044,0,100,21,5.643,3.709
cantine,80.647,16.507,50,100,17,3.674,1.567
cantique,41.579,38.403,0,100,19,8.401,6.713
canton,62.1,36.827,0,100,20,5.979,4.993
capacité,90.333,10.795,69,100,16,7.392,8.994
cape,81.286,26.257,4,100,21,6.775,8.06
capital,87.364,19.994,5,100,22,4.644,4.198
capitale,85.833,11.94,30,100,24,4.027,0.815
capot,77.053,29.253,2,100,19,6.553,9.35
caprice,85,22.01,32,100,20,5.882,6.45
